,pgd
117,0.1626244167791372
118,0.15949331893299598
119,0.15852326150092327
120,0.15625555847765213
121,0.15491309054815258
122,0.1536698293034121
123,0.15285134334375555
124,0.15168663729093868
125,0.1508838274651765
126,0.14976703015636106
127,0.14897125704959516
128,0.14788958660454532
129,0.14709898859471185
130,0.14604511261340034
131,0.14525998246327143
132,0.1442284316484711
133,0.1434501621609401
134,0.14243612163085423
135,0.14166672863258448
136,0.14066569467832202
137,0.1399075283162114
138,0.13891528968618044
139,0.13817080554963942
140,0.1371835413737731
141,0.13645509575174208
142,0.1354695025215688
143,0.1347591699177471
144,0.13377257585034605
145,0.13308199756885508
146,0.13209244244183171
147,0.1314227163364817
148,0.13004006781898672
149,0.12900872349716272
150,0.12812538349559735
151,0.12739610148630975
152,0.12651702889885102
153,0.12579705642987016
154,0.12491639014717432
155,0.12421104112449774
156,0.12332355354287991
157,0.12263782748576438
158,0.12173935232725186
159,0.12107746333259216
160,0.1201653436983744
161,0.11953021732558866
162,0.11829203525429292
163,0.11725976793960344
164,0.11638936988738056
165,0.11573403563265489
166,0.11437795307837473
167,0.11354257090333314
168,0.11271597589958947
169,0.11204762438151356
170,0.11117312378437504
171,0.1105709245463962
172,0.10918465891422419
173,0.10841997336942327
174,0.10756376608131045
175,0.10696857733703694
176,0.10539958852279407
177,0.10463502847830763
178,0.10334602610236707
179,0.10260935046671743
180,0.10182899941929684
181,0.10119039279059092
182,0.09990506476598782
183,0.0991800714430743
184,0.09837822834904843
185,0.0978044097726324
186,0.09617827188773638
187,0.09560656916470252
188,0.09397529959168813
189,0.09321935635910483
190,0.09261662289649826
191,0.09115238839953789
192,0.09052267291595836
193,0.08907730714284068
194,0.08846847392658722
195,0.08698451750493266
196,0.08645583019280258
197,0.0849226504083674
198,0.08385210314099681
199,0.08309305004642527
200,0.0817689513432126
201,0.08107228183997432
202,0.08035294148771346
203,0.07914801866751969
204,0.0782303118320488
205,0.07759656746350159
206,0.07703100542237909
207,0.0761469474159198
208,0.0755999548445038
209,0.07473427680408601
210,0.07405029656879912
211,0.07360402521855608
212,0.07280115061131952
213,0.0721300332209316
214,0.07159208212770032
215,0.07091645047646711
216,0.07044538313243914
217,0.06978266682275425
218,0.06934985666819143
219,0.06871038737071014
220,0.0682981647763095
221,0.06768825177365004
222,0.06728482795547674
223,0.06670907052271952
224,0.06630562402832103
225,0.06576836298678979
226,0.06535725649200473
227,0.06486356402238261
228,0.06443716955550043
229,0.06409773343789309
230,0.06354297508573309
231,0.0632016636558742
232,0.06267349039744868
233,0.06232710128004828
234,0.06182783706395566
235,0.061472581222617416
236,0.06100570352701676
237,0.06063697757192321
238,0.0602073936511262
239,0.05991772522285143
240,0.05940089465178422
241,0.0589859512693599
242,0.058700112560024165
243,0.058197262085015765
244,0.05779564727737123
245,0.057513361419815105
246,0.0570233695554595
247,0.056634084682908266
248,0.05635515479813388
249,0.05587718271316709
250,0.055499482577976725
251,0.05522377892032963
252,0.05475721683348155
253,0.05439055955846154
254,0.054118008965067625
255,0.05366243152665652
256,0.05330643679990993
257,0.05303701405282044
258,0.05259214332090336
259,0.05233267290617456
260,0.05190380524326542
261,0.05163989524899407
262,0.05123001926539994
263,0.05095895399303502
264,0.050572184112435734
265,0.05029028069743139
266,0.04993228375409513
267,0.049634511125574536
268,0.04939190966018446
269,0.048992228491357995
270,0.048745285182835274
271,0.048364748977254554
272,0.04811067994007826
273,0.04775367957168286
274,0.04748864906501341
275,0.04716124650541452
276,0.04687994713399904
277,0.046653424768387824
278,0.04628590901635573
279,0.04605457134261226
280,0.04570790724315722
281,0.04546845693407994
282,0.04514809820909652
283,0.04489584608962672
284,0.04460955250614377
285,0.04439970197500672
286,0.044046010751047554
287,0.04376891179983514
288,0.043564911957830396
289,0.043222280331807666
290,0.04295453328185855
291,0.042756421500248644
292,0.04242500235966991
293,0.04216674871607857
294,0.04197456018029925
295,0.041654489922857224
296,0.04140585135104715
297,0.041219617360062064
298,0.04091101163390058
299,0.04067208645009304
300,0.04049183284517395
301,0.04019478294457826
302,0.03996564326309488
303,0.039791388931967375
304,0.03950595879634735
305,0.03928664832301404
306,0.039118403780291695
307,0.03884462757416737
308,0.03868752192849016
309,0.038429763875044876
310,0.03826995207554887
311,0.03803217256580988
312,0.037866235423395414
313,0.03765443903605637
314,0.03747720547095332
315,0.037332770718762044
316,0.037104211626810144
317,0.03695615885964427
318,0.03674926892661831
319,0.03659356337478652
320,0.03641557231708105
321,0.036282273315377575
322,0.03606248868929529
323,0.03589417947161423
324,0.0357664829396331
325,0.035557952410856644
326,0.035399165290230905
327,0.03527699304395978
328,0.03507952812831675
329,0.0349670767915458
330,0.034783617287977964
331,0.03466946199534997
332,0.03450351636015657
333,0.0343845394714024
334,0.0342416668381448
335,0.03414231349924034
336,0.03397052096420221
337,0.03383678936648305
338,0.033742094298314616
339,0.03358054654732065
340,0.03345565993985672
341,0.03336552303604087
342,0.03321390569469447
343,0.03309755725140199
344,0.033011860613827305
345,0.032869841311539305
346,0.03276171555477302
347,0.03268032505091968
348,0.032547556240450595
349,0.032447331275316
350,0.03237009829169284
351,0.032246220130698916
352,0.03217601465402913
353,0.032062305870258954
354,0.031991426388401405
355,0.03189015333947535
356,0.03181644480230496
357,0.031731235447535144
358,0.03166831944725256
359,0.03156467634546889
360,0.03148627424096083
361,0.031426814151005796
362,0.03133073622918718
363,0.031276506012351095
364,0.031188574032661114
365,0.031134093209496387
366,0.031055851048825977
367,0.03099956010745183
368,0.030933442744048356
369,0.030886375374648622
370,0.030807163384725042
371,0.03074690149837373
372,0.03070235069295016
373,0.030629315290369264
374,0.03058813592031958
375,0.030521227729205777
376,0.030479995249054356
377,0.030420096289921074
378,0.030392874177887167
379,0.03032342634927944
380,0.030259061955607916
381,0.030198049956118404
382,0.030144606631274735
383,0.03012313942395571
384,0.030063958894286456
385,0.030023002014310525
386,0.029986045519430064
387,0.029932600421679133
388,0.02989087662846919
389,0.029855779792960856
390,0.02982394808019251
391,0.029796521100461524
392,0.029778940319438542
393,0.029754330711758287
394,0.029738510352338654
395,0.029716750308240593
396,0.029701921646226717
397,0.029683124415681345
398,0.02967291300362545
399,0.02965279347768728
400,0.029637200701079836
401,0.029627303632843487
402,0.029609792290369898
403,0.02959684397647399
404,0.02958724438475558
405,0.0295718838093506
406,0.02956343194102252
407,0.029550204745975965
408,0.029541706238654788
409,0.029534152448155493
410,0.029522198254994213
411,0.029514538410474092
412,0.02950771593278354
413,0.029497056287257
414,0.02949208411616148
415,0.02948067702859867
416,0.029470846947038068
417,0.029464656937466915
418,0.02945900378379213
419,0.02945087896170934
420,0.029445817556226578
421,0.029436922561186657
422,0.029433538087824892
423,0.029425773522155307
424,0.02942185277590477
425,0.02941741372714534
426,0.0294147438971966
427,0.029407295027493875
428,0.029403773485042323
429,0.02939998602362494
430,0.029397164571886257
431,0.0293912186161659
432,0.02938775816153033
433,0.029384160793261754
434,0.029381383233414823
435,0.029374530263841903
436,0.029371268391948875
437,0.02936453192503503
438,0.029361566652747265
439,0.029356796013442724
440,0.02935188343612185
441,0.029345151438611418
442,0.02934272492276083
443,0.029337786903561758
444,0.029334775672262527
445,0.029331844641529367
446,0.02932937318429097
447,0.029326207645719193
448,0.02932412199689618
449,0.029318701058326065
450,0.029315807536027687
451,0.02931299644020016
452,0.029310731876234827
453,0.029306546811467004
454,0.029303524219735724
455,0.02930082980105666
456,0.02929864986593805
457,0.029294655848374204
458,0.029291730575973524
459,0.02928915053318305
460,0.02928705026472488
461,0.029283243398743615
462,0.029280410583585353
463,0.029277938830519306
464,0.029275917725014877
465,0.029272288777396446
466,0.029269547564112243
467,0.029267183182858786
468,0.029265236934035554
469,0.02926178425147582
470,0.029259130123849134
471,0.029256867977989452
472,0.029254996566301206
473,0.029251712416850394
474,0.029249144808977553
475,0.02924698458180313
476,0.02924518401835126
477,0.02924206765577144
478,0.029239582266853713
479,0.029237519207429816
480,0.029235789672569117
481,0.029233566678977883
482,0.029232107178756933
483,0.029228304084090627
484,0.029226285981157365
485,0.029224320275981715
486,0.029222741866976074
487,0.029219822349497167
488,0.029217718893128918
489,0.029215847839718027
490,0.029214332513831848
491,0.029211572731994283
492,0.029209538375904683
493,0.029207757346248933
494,0.029206305249394132
495,0.02920369784740537
496,0.02920173235453192
497,0.029200040908495737
498,0.029198648344037712
499,0.029196191941696304
500,0.029194291549742336
501,0.02919268493252041
502,0.02919135199376294
503,0.02918903892483877
504,0.029187203424984223
505,0.02918568102533063
506,0.029184403976610818
507,0.029182767072970094
508,0.029181691652524072
509,0.02917890121409921
510,0.029177415527566506
511,0.02917597861705363
512,0.029174819782702248
513,0.029172700906216573
514,0.029171151140679533
515,0.029169790302349192
516,0.02916868348107826
517,0.029166694884441603
518,0.02916519932968139
519,0.029163913568825566
520,0.029162855114023917
521,0.02916099422649673
522,0.029159549478266746
523,0.029158333821215736
524,0.029157323639465667
525,0.02915558214374043
526,0.029154188104502474
527,0.029153041482690083
528,0.02915207592642904
529,0.029150843763004888
530,0.029150032448975197
531,0.029147939457594738
532,0.02914681695723079
533,0.029145740730844416
534,0.029144867622523433
535,0.0291432924106758
536,0.02914211758019539
537,0.02914110167681042
538,0.029140269507611963
539,0.029138797679921107
540,0.0291376647075994
541,0.029136707956778356
542,0.029135913265017264
543,0.029134541906423037
544,0.02913344773797979
545,0.02913254529958053
546,0.029131787988733816
547,0.029130819333445482
548,0.029130182977284112
