,pgd_h
0,5.017856022389284
1,2.6853695010150185
2,1.6565314529441302
3,1.4218572008534403
4,1.3755264934802867
5,1.3175318749546892
6,1.2783066887800734
7,1.2291009458793831
8,1.1980557424154787
9,1.0985259886372956
10,1.067698348203202
11,0.987946199487837
12,0.9524241415951668
13,0.8948272937602159
14,0.854151808812563
15,0.8216191180783478
16,0.7970339586996171
17,0.7673873528494093
18,0.7464590317704134
19,0.7194550984079061
20,0.7016361351123857
21,0.6769398645033805
22,0.6620314600440416
23,0.626918779747783
24,0.6109895306501425
25,0.5934600989180049
26,0.5824221386167302
27,0.5544365137000674
28,0.5419844196282634
29,0.5239281485945813
30,0.5116547185208201
31,0.5016764587883688
32,0.49555182442388673
33,0.4776778748163108
34,0.4678545250784538
35,0.45887915651226957
36,0.4524519178323961
37,0.4364835127587038
38,0.4291066318510897
39,0.42112762410761534
40,0.4159147423983047
41,0.40162214266552465
42,0.3956157257848332
43,0.3849987259145906
44,0.3789760008315869
45,0.3729674731526524
46,0.368195705705941
47,0.36208471515861174
48,0.35794598785273096
49,0.3519192466756657
50,0.34815930355041186
51,0.3393236977169393
52,0.334357653605879
53,0.3267934426024084
54,0.3218465724918906
55,0.31859716748787076
56,0.30920830329190097
57,0.3056428775762747
58,0.2991235586451428
59,0.29517895337224753
60,0.2914813880647265
61,0.2892367461659827
62,0.2822913399654675
63,0.2787967084632105
64,0.2752911318223417
65,0.27287517467164896
66,0.2673099542304506
67,0.26479749102089933
68,0.26186191487266836
69,0.25969018339376493
70,0.2568431744625919
71,0.2548442777330635
72,0.25209670193541683
73,0.2502358407372253
74,0.2475870004876406
75,0.24584288706861504
76,0.24328780511036346
77,0.24164374747545758
78,0.23830390135331303
79,0.23565381851010406
80,0.2333940064639033
81,0.23182267593787434
82,0.2284258517537459
83,0.22643491555042858
84,0.22449293322282893
85,0.22292491829460068
86,0.22103755440932346
87,0.2195038180229148
88,0.21767437671982318
89,0.21616104357821067
90,0.21439247033811532
91,0.21328358713744996
92,0.2097157316760653
93,0.20847358809025535
94,0.20581949851081427
95,0.20375278325826507
96,0.20191287792576038
97,0.20064591597211756
98,0.1980780976890372
99,0.19614772775668687
100,0.19454215724459242
101,0.1935144056239556
102,0.19020370924353086
103,0.18905998536703486
104,0.18644298419748698
105,0.18463813076669028
106,0.18225911107096962
107,0.18033478331200703
108,0.1788016069573622
109,0.17780943299920043
110,0.17461289094707866
111,0.17351661674277208
112,0.17090688960415085
113,0.1692419198325687
114,0.16683228648336715
115,0.16506149507918425
116,0.16355047840753037
117,0.1626506403823623
118,0.15951808905212111
119,0.15855000425907192
120,0.15627464968196228
121,0.1549367716405526
122,0.15369248751812664
123,0.15287422319521984
124,0.1517088245811208
125,0.15090628295679637
126,0.14978903506881674
127,0.14899355191041153
128,0.14791155623272137
129,0.14712122048660237
130,0.1460670963524033
131,0.14528218972050577
132,0.1442504996762186
133,0.14347239132678902
134,0.1424582733559982
135,0.141688963274579
136,0.1406879291612832
137,0.1399297956662442
138,0.13893761268349594
139,0.1381930899067029
140,0.13720595483240933
141,0.13647741407585978
142,0.1354920381222692
143,0.13478159448059177
144,0.13379528834719354
145,0.13310457305308318
146,0.1321153248127126
147,0.13144545699213656
148,0.13006395663413742
149,0.1290318402189854
150,0.1281486161625093
151,0.12741947080846988
152,0.12654063314510278
153,0.12582064772161633
154,0.12494022652860196
155,0.12423477584421962
156,0.12334756127733315
157,0.12266168265223211
158,0.1217634679589932
159,0.12110141911968
160,0.12018963163851899
161,0.11955434028723645
162,0.11862810290246911
163,0.11802080149556052
164,0.11661330782990445
165,0.11576855201910866
166,0.114878400628831
167,0.11425899231093586
168,0.1127690512750839
169,0.112076477624613
170,0.11121905482227572
171,0.11059748223163358
172,0.1093094592150132
173,0.10844915551077255
174,0.10760900347480674
175,0.10699417507927397
176,0.10547112630531943
177,0.10490770799654418
178,0.10406278183273965
179,0.10348859712466338
180,0.10199876637932652
181,0.10143638026602159
182,0.10024403297268074
183,0.09947722109904919
184,0.09893516869931426
185,0.09727789254259646
186,0.09671839994327341
187,0.095080771439181
188,0.09454038372401784
189,0.09289458879864439
190,0.09211245493632164
191,0.09157203559029978
192,0.0900213823987937
193,0.08949496583513282
194,0.08793976297544846
195,0.08720826626728831
196,0.08643159708432295
197,0.08589588098082818
198,0.08437014541182704
199,0.08329520107347513
200,0.08257292097718825
201,0.0812601733882231
202,0.08052908979766953
203,0.0794274347631641
204,0.07872250916360568
205,0.07775330399329253
206,0.07718914552950529
207,0.07635252375832162
208,0.07594459869048381
209,0.07500990653671975
210,0.07414776763099948
211,0.07337309229345462
212,0.07287812608986419
213,0.07211665735350596
214,0.07148308275981156
215,0.07094002410127664
216,0.07030161936467494
217,0.06982259890827655
218,0.06920149221296694
219,0.06875380036125102
220,0.06816249805904284
221,0.06772665428819317
222,0.06717360367125332
223,0.0667362744052853
224,0.06622888977796783
225,0.06577904742151927
226,0.065424985330116
227,0.06485169155418379
228,0.06449648364135398
229,0.06395221974890095
230,0.06359239949584543
231,0.06307984890563197
232,0.06271113572490201
233,0.06223378324302804
234,0.0618511016962953
235,0.06141399032142213
236,0.061110797627578164
237,0.06058089862670812
238,0.060159592628562006
239,0.05986116685795599
240,0.059346584387312086
241,0.05893950663976263
242,0.05864523765552338
243,0.058144458657852734
244,0.05775055226816959
245,0.057460076928508054
246,0.05697203927050921
247,0.05658982953237318
248,0.05630332252628614
249,0.05582731290179217
250,0.05545658386392403
251,0.055173363231674544
252,0.05470892239606059
253,0.05443711839784101
254,0.0539891415367202
255,0.05371281163161285
256,0.053283949362479995
257,0.053000580059863925
258,0.052594673892983924
259,0.05230068522702384
260,0.0519230082991309
261,0.05161356973604262
262,0.0512712842021565
263,0.05101552666988675
264,0.050589281251895324
265,0.0502551783672398
266,0.05000517083013967
267,0.04958892673383455
268,0.0492625188977457
269,0.049018812210504685
270,0.048612508488461964
271,0.048293963366324175
272,0.04805660347237121
273,0.04766042148232648
274,0.047350000748708564
275,0.04711887443904022
276,0.04673302463139608
277,0.046430641669616066
278,0.04620593361606175
279,0.04583056419365029
280,0.045537107470399574
281,0.04531812616781613
282,0.044953513476802466
283,0.04466935655022329
284,0.044455863267457096
285,0.04410207849405389
286,0.04382723405225765
287,0.04361949135319606
288,0.043276835365326054
289,0.04301150598087186
290,0.042809394666859776
291,0.04247797045580662
292,0.042222079500382474
293,0.042025865975443444
294,0.04170577456998933
295,0.0414592243494183
296,0.04126927214601019
297,0.040960585734967504
298,0.040782562674646736
299,0.040490191433796854
300,0.04030905268645038
301,0.040036890241270516
302,0.039849295621718836
303,0.03960306604494796
304,0.039404068501453185
305,0.03924033446001535
306,0.03897479478845116
307,0.03880765905197429
308,0.038563175223458396
309,0.03838898734499079
310,0.03817208596034841
311,0.03803173285083679
312,0.03777488363524645
313,0.03756834904274623
314,0.03743327355782194
315,0.03718817577635905
316,0.036992017789181514
317,0.036862046039844
318,0.03662851572401933
319,0.03644237669925497
320,0.03631779333757886
321,0.036095704734946436
322,0.035919526471678766
323,0.03580024776034618
324,0.03558949039493245
325,0.03542294754152029
326,0.0353090583570853
327,0.03510941109857504
328,0.03495245119410819
329,0.03484369998829681
330,0.034655000237366576
331,0.034507588502776444
332,0.03440370987306934
333,0.034225658667149335
334,0.03408731384556622
335,0.03398848255283546
336,0.033820773276551315
337,0.03369113588437683
338,0.03359735983221838
339,0.03343978688572455
340,0.03331867265687299
341,0.03322971855883463
342,0.03308192484535915
343,0.03296932011200668
344,0.03288475389239078
345,0.03274639057137881
346,0.03264190144956146
347,0.032561712599204796
348,0.03243245968656189
349,0.032359486238149035
350,0.03224065730391572
351,0.03216707387858045
352,0.03206100850745054
353,0.03198459940510371
354,0.03189504031469492
355,0.03182994751746389
356,0.03172185249701874
357,0.031639324638471654
358,0.03157782759740345
359,0.03147764039847011
360,0.03142074026972601
361,0.03132917746840116
362,0.031271910638597605
363,0.031190594462317197
364,0.031131278373666294
365,0.031062906101577123
366,0.03101324246647592
367,0.03093008757436838
368,0.03086778638853316
369,0.030820695415622906
370,0.030740642716331087
371,0.03067397667341247
372,0.030626292125550528
373,0.030569704392767093
374,0.030531874018895233
375,0.030458734976603858
376,0.03039053353494587
377,0.030325200854377392
378,0.030266090251407196
379,0.030230726395514045
380,0.030187522175813688
381,0.03015478742116301
382,0.030101522847090875
383,0.030078053368332608
384,0.030026766530750138
385,0.02999971140509828
386,0.029969516799494552
387,0.029923521988530478
388,0.02988498169872077
389,0.02985110875328765
390,0.029820218765792023
391,0.029793406449472447
392,0.029776665396269983
393,0.02975268255681267
394,0.029737306188327914
395,0.02971672954645906
396,0.029701989644266607
397,0.029684635212310916
398,0.029673466372520576
399,0.029653953945191283
400,0.029639098306687497
401,0.029628980585108277
402,0.02961185897425289
403,0.02959895678857288
404,0.029589871658708307
405,0.02957470311895656
406,0.029563317530675738
407,0.029555278418414516
408,0.029541769987369307
409,0.02953148015563776
410,0.029524498564333732
411,0.029512345806167274
412,0.029502847633718774
413,0.02949690980223517
414,0.0294858889400452
415,0.029477782505387157
416,0.029472023516470464
417,0.029462391957984498
418,0.029455551871718406
419,0.029449728128098745
420,0.029441093283455996
421,0.02943745100729765
422,0.029429919039131187
423,0.029427589291013963
424,0.029423036840474027
425,0.029416882021075418
426,0.029413577347447817
427,0.02940861673059811
428,0.029401839325132524
429,0.029393807402475002
430,0.029390368200146275
431,0.029386299636922412
432,0.029382354742198788
433,0.02937616692274533
434,0.029370464453962415
435,0.029367304598090196
436,0.029364601885077182
437,0.029361288681930636
438,0.029359042605799964
439,0.02935349105546461
440,0.029351050861338115
441,0.02934786544539618
442,0.029345691586566643
443,0.029340350056380055
444,0.029337940772768425
445,0.029334944151119185
446,0.029332845165806143
447,0.029327796763161385
448,0.029325502467411124
449,0.029322543857207964
450,0.029320563887506403
451,0.029315617298301122
452,0.02931343602175983
453,0.029310676724224962
454,0.02930871203750526
455,0.029304088491075696
456,0.029301933353885062
457,0.029299195523544555
458,0.029297382169539872
459,0.029292826121058345
460,0.029290812927511723
461,0.02928828839536995
462,0.029286458583613947
463,0.029282247704496247
464,0.02928022531859355
465,0.029277698208248996
466,0.029276035224474268
467,0.029271854996111357
468,0.029269988727796462
469,0.029267685291488064
470,0.029265985478804907
471,0.029262164432535306
472,0.029260268813465256
473,0.029257946587374056
474,0.02925642250704056
475,0.029252608224039345
476,0.02925087607527201
477,0.029248782871924877
478,0.029247209335607687
479,0.02924375840522158
480,0.02924198442041051
481,0.029239861726465567
482,0.029238468363526816
483,0.02923500733371001
484,0.02923339930254428
485,0.02923150431511097
486,0.02923005123979185
487,0.029226953113149674
488,0.029225293639464765
489,0.029223357308548685
490,0.029222084825296122
491,0.029218960163330747
492,0.029217467681460354
493,0.029215759545025744
494,0.02921442313607959
495,0.02921165634768984
496,0.02921010662926354
497,0.029208350910833153
498,0.029207193247469874
499,0.029204388201467597
500,0.029203003933569525
501,0.029201473541745182
502,0.029200246162090555
503,0.02919779632429705
504,0.029196350641013388
505,0.029194767032918192
506,0.029193716411870962
507,0.029191216876242237
508,0.029189933940804314
509,0.029188568581448405
510,0.02918744461548593
511,0.029185285530387284
512,0.02918393714782886
513,0.029182512599782613
514,0.029181563034535996
515,0.029179344657241205
516,0.029178156299321044
517,0.02917694623238646
518,0.029175920052338773
519,0.029174037935817246
520,0.02917278106582453
521,0.029171505734718196
522,0.02917064733617109
523,0.029168690147504756
524,0.029167578616974058
525,0.029166450554179147
526,0.029165446651996003
527,0.02916391438370888
528,0.02916273933124689
529,0.029161584623993597
530,0.02916080764124914
531,0.02915907661582467
532,0.029158056627178637
533,0.029157113471861344
534,0.029156260918981776
535,0.029154847383045236
536,0.029153754648803664
537,0.029152734843888573
538,0.029152035818868813
539,0.029150508271507666
540,0.029149554322456663
541,0.029148693842440995
542,0.0291478928377785
543,0.029146494176949783
544,0.029145500142724656
545,0.029144675214647534
546,0.02914406570151782
547,0.02914280328089834
548,0.029141925813955125
549,0.02914119559485217
550,0.029140481888128494
551,0.02913942772996834
552,0.029138477391015424
553,0.029137666643406012
554,0.02913709983785561
555,0.029135950712512414
556,0.02913513786691248
557,0.029134502979142916
558,0.029133853469098407
559,0.029132961682400742
560,0.02913207509565395
561,0.029131353983943436
562,0.029130843230616096
563,0.02913008838995784
564,0.029129655896702994
565,0.029128395329642134
566,0.029127805480903584
567,0.029127138476502452
568,0.029126681316264332
569,0.029125719721722454
570,0.02912506459006053
571,0.029124543051779205
572,0.029124005776799793
573,0.029123264694264506
574,0.029122540507598944
